"Prvdr_id","PSI_4_SURG_COMP","PSI_4_SURG_COMP_F","PSI_6_IAT_PTX","PSI_6_IAT_PTX_F","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_F","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_F","PSI_15_ACC_LAC","PSI_15_ACC_LAC_F","PSI_90_SAFETY","PSI_90_SAFETY_F","PSI_4_SURG_COMP_NUM_DC","PSI_4_SURG_COMP_RATE","PSI_4_SURG_COMP_LOW_EST","PSI_4_SURG_COMP_HIGH_EST","PSI_6_IAT_PTX_NUM_DC","PSI_6_IAT_PTX_RATE","PSI_6_IAT_PTX_LOW_EST","PSI_6_IAT_PTX_HIGH_EST","PSI_12_POSTOP_PULMEMB_DVT_NUM_DC","PSI_12_POSTOP_PULMEMB_DVT_RATE","PSI_12_POSTOP_PULMEMB_DVT_LOW_EST","PSI_12_POSTOP_PULMEMB_DVT_HIGH_EST","PSI_14_POSTOP_DEHIS_NUM_DC","PSI_14_POSTOP_DEHIS_RATE","PSI_14_POSTOP_DEHIS_LOW_EST","PSI_14_POSTOP_DEHIS_HIGH_EST","PSI_15_ACC_LAC_NUM_DC","PSI_15_ACC_LAC_RATE","PSI_15_ACC_LAC_LOW_EST","PSI_15_ACC_LAC_HIGH_EST","PSI_90_SAFETY_NUM_DC","PSI_90_SAFETY_RATE","PSI_90_SAFETY_LOW_EST","PSI_90_SAFETY_HIGH_EST"
"010001","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"182","133.33","100.52","166.14","14776","0.18","0.00","0.41","4863","2.51","0.81","4.21","376","0.39","0.00","1.90","15415","3.07","2.28","3.86","Not Available","0.68","0.52","0.84"
"010005","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"30","127.84","77.98","177.69","4106","0.21","0.00","0.57","737","2.85","0.00","6.55","106","0.65","0.00","2.59","4224","1.58","0.08","3.09","Not Available","0.48","0.16","0.79"
"010006","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"108","143.26","102.69","183.84","10055","0.48","0.20","0.76","2662","4.35","1.94","6.75","223","1.24","0.00","2.97","10672","2.94","1.91","3.96","Not Available","0.80","0.59","1.02"
"010007","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"6","Not Available","Not Available","Not Available","1828","0.28","0.00","0.70","133","3.43","0.00","8.15","30","0.84","0.00","3.05","1878","2.06","0.05","4.07","Not Available","0.64","0.23","1.05"
"010008","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","733","0.30","0.00","0.73","30","3.97","0.00","9.04","3","Not Available","Not Available","Not Available","752","1.68","0.00","3.98","Not Available","0.57","0.10","1.04"
"010011","Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"120","157.58","117.64","197.52","7838","0.36","0.06","0.65","2714","3.25","0.91","5.58","242","1.09","0.00","2.71","8235","1.57","0.56","2.57","Not Available","0.53","0.32","0.74"
"010012","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"16","Not Available","Not Available","Not Available","2946","0.23","0.00","0.60","602","2.47","0.00","6.48","64","1.82","0.00","3.92","3079","2.71","1.12","4.29","Not Available","0.65","0.31","0.99"
"010016","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"95","142.68","102.35","183.01","6631","0.20","0.00","0.50","2197","3.55","0.98","6.13","318","1.02","0.00","2.59","6951","1.93","0.91","2.95","Not Available","0.60","0.38","0.82"
"010018","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","64","0.31","0.00","0.75","49","3.98","0.00","9.06","Not Available","Not Available","Not Available","Not Available","64","1.80","0.00","4.18","Not Available","0.59","0.11","1.08"
"010019","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"75","113.97","70.40","157.54","5777","0.26","0.00","0.60","1491","4.26","1.29","7.23","210","0.51","0.00","2.24","5857","2.33","1.06","3.59","Not Available","0.65","0.39","0.91"
"010021","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"4","Not Available","Not Available","Not Available","1460","0.26","0.00","0.66","156","3.37","0.00","8.04","14","Not Available","Not Available","Not Available","1495","1.45","0.00","3.59","Not Available","0.50","0.07","0.92"
"010022","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","947","0.30","0.00","0.73","43","3.96","0.00","9.03","11","Not Available","Not Available","Not Available","972","1.63","0.00","3.89","Not Available","0.56","0.10","1.02"
"010023","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"135","135.34","100.51","170.17","10052","0.20","0.00","0.47","3907","2.64","0.70","4.57","328","0.42","0.00","1.98","10365","2.23","1.32","3.14","Not Available","0.54","0.35","0.73"
"010024","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"93","130.97","90.93","171.02","9861","0.33","0.07","0.59","2900","1.66","0.00","3.95","245","0.47","0.00","2.11","10215","1.89","0.90","2.87","Not Available","0.48","0.28","0.69"
"010025","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"11","Not Available","Not Available","Not Available","2431","0.24","0.00","0.62","314","1.76","0.00","5.14","69","2.75","0.69","4.81","2560","1.26","0.00","3.01","Not Available","0.43","0.10","0.77"
"010029","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"121","139.68","102.49","176.87","10915","0.23","0.00","0.49","3960","2.52","0.79","4.24","362","0.93","0.00","2.44","11366","2.47","1.57","3.37","Not Available","0.62","0.44","0.80"
"010032","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","690","0.29","0.00","0.71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","757","1.70","0.00","4.01","Not Available","0.58","0.11","1.04"
"010033","Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"538","142.08","120.67","163.48","22430","0.60","0.39","0.81","10269","4.92","3.85","5.99","1506","0.17","0.00","1.15","24595","2.18","1.69","2.67","Not Available","0.74","0.63","0.85"
"010034","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"10","Not Available","Not Available","Not Available","1341","0.28","0.00","0.69","86","3.67","0.00","8.55","18","Not Available","Not Available","Not Available","1491","1.44","0.00","3.57","Not Available","0.51","0.08","0.94"
"010035","Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"36","176.53","129.44","223.62","6137","0.24","0.00","0.56","1457","3.01","0.17","5.85","147","1.44","0.00","3.31","6245","1.73","0.46","2.99","Not Available","0.52","0.27","0.78"
"010036","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"23","Not Available","Not Available","Not Available","2941","0.26","0.00","0.65","559","3.11","0.00","6.98","80","0.71","0.00","2.74","3030","2.31","0.61","4.02","Not Available","0.61","0.26","0.96"
"010038","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"41","105.45","60.54","150.37","4336","0.20","0.00","0.55","871","3.76","0.35","7.16","134","0.63","0.00","2.53","4551","1.55","0.23","2.87","Not Available","0.51","0.23","0.80"
"010039","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"386","130.10","106.77","153.43","28145","0.18","0.01","0.35","10436","3.44","2.36","4.52","965","0.21","0.00","1.31","29176","2.08","1.52","2.65","Not Available","0.59","0.48","0.70"
"010040","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"171","112.28","76.62","147.95","8922","0.27","0.00","0.55","2687","5.16","2.71","7.61","253","1.71","0.09","3.33","9147","1.36","0.33","2.40","Not Available","0.59","0.38","0.80"
"010044","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","946","0.41","0.00","0.83","38","3.98","0.00","9.06","17","Not Available","Not Available","Not Available","1013","1.51","0.00","3.68","Not Available","0.56","0.11","1.01"
"010045","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"8","Not Available","Not Available","Not Available","1532","0.28","0.00","0.69","66","3.62","0.00","8.47","32","1.93","0.00","4.10","1560","2.78","0.79","4.77","Not Available","0.73","0.32","1.14"
"010046","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"102","125.25","85.21","165.29","7360","0.29","0.00","0.60","1608","5.62","2.52","8.73","103","0.64","0.00","2.56","7848","0.82","0.00","2.10","Not Available","0.51","0.25","0.77"
"010047","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1166","0.30","0.00","0.73","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1213","1.67","0.00","3.97","Not Available","0.58","0.11","1.05"
"010049","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"12","Not Available","Not Available","Not Available","3236","0.35","0.00","0.75","628","4.27","0.65","7.88","90","1.79","0.00","3.88","3301","2.38","0.65","4.11","Not Available","0.73","0.38","1.07"
"010050","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1004","0.29","0.00","0.71","58","5.25","0.22","10.27","10","Not Available","Not Available","Not Available","1037","1.55","0.00","3.75","Not Available","0.60","0.15","1.05"
"010051","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","511","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","517","1.78","0.00","4.14","Not Available","0.60","0.11","1.08"
"010052","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","996","0.30","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1018","1.67","0.00","3.96","Not Available","0.58","0.10","1.05"
"010054","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"17","Not Available","Not Available","Not Available","2996","0.24","0.00","0.62","406","3.54","0.00","7.66","86","0.73","0.00","2.80","3096","1.72","0.03","3.40","Not Available","0.53","0.18","0.88"
"010055","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"99","139.26","98.69","179.82","9866","0.21","0.00","0.48","3720","2.21","0.06","4.35","340","1.00","0.00","2.56","10243","2.26","1.37","3.14","Not Available","0.53","0.34","0.72"
"010056","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"166","133.10","98.31","167.90","13544","0.26","0.01","0.51","6080","3.59","1.85","5.32","522","0.35","0.00","1.76","13696","1.59","0.83","2.34","Not Available","0.51","0.35","0.67"
"010058","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","252","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","270","1.80","0.00","4.17","Not Available","0.65","0.17","1.13"
"010059","Not Available","7","No Different than U.S. National Rate",,"Number of Cases Too Small","1","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1574","0.28","0.00","0.70","12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1614","1.59","0.00","3.82","Not Available","0.55","0.11","1.00"
"010061","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"12","Not Available","Not Available","Not Available","3421","0.25","0.00","0.65","257","5.29","0.80","9.79","40","0.82","0.00","3.00","3528","2.38","0.53","4.23","Not Available","0.74","0.36","1.12"
"010062","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"5","Not Available","Not Available","Not Available","1455","0.29","0.00","0.71","90","3.69","0.00","8.58","37","0.81","0.00","2.97","1534","1.69","0.00","3.71","Not Available","0.55","0.13","0.96"
"010065","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"36","94.08","46.14","142.02","3046","0.65","0.28","1.02","658","2.58","0.00","6.09","86","1.67","0.00","3.69","3116","2.94","1.36","4.53","Not Available","0.75","0.43","1.07"
"010066","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","360","0.30","0.00","0.73","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","365","1.77","0.00","4.13","Not Available","0.59","0.11","1.07"
"010069","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"5","Not Available","Not Available","Not Available","1446","0.29","0.00","0.70","72","3.81","0.00","8.78","33","0.84","0.00","3.04","1467","1.35","0.00","3.41","Not Available","0.50","0.08","0.93"
"010073","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1237","0.29","0.00","0.71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1263","1.67","0.00","3.95","Not Available","0.57","0.11","1.04"
"010078","Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"145","155.63","120.49","190.77","10074","0.33","0.07","0.60","3114","3.85","1.68","6.03","275","1.02","0.00","2.59","10793","2.50","1.60","3.40","Not Available","0.69","0.50","0.88"
"010079","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"17","Not Available","Not Available","Not Available","3248","0.23","0.00","0.60","406","4.96","1.01","8.91","70","0.73","0.00","2.78","3365","1.19","0.00","2.88","Not Available","0.51","0.17","0.85"
"010083","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"33","103.37","53.02","153.72","4520","0.35","0.00","0.70","887","3.98","0.73","7.22","185","2.05","0.28","3.83","4701","3.15","1.77","4.53","Not Available","0.81","0.52","1.10"
"010085","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"91","116.03","75.87","156.19","6856","0.29","0.00","0.61","1454","4.19","1.68","6.70","248","0.48","0.00","2.14","7135","2.37","1.21","3.53","Not Available","0.64","0.41","0.88"
"010086","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"9","Not Available","Not Available","Not Available","2285","0.37","0.00","0.77","312","4.92","0.59","9.26","56","0.73","0.00","2.80","2496","1.01","0.00","2.79","Not Available","0.51","0.14","0.88"
"010087","Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"33","160.23","111.18","209.29","1914","0.54","0.15","0.93","783","4.82","1.66","7.98","122","1.44","0.00","3.31","2041","1.99","0.50","3.49","Not Available","0.71","0.41","1.02"
"010089","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"35","105.27","57.73","152.81","4502","0.28","0.00","0.62","1056","2.28","0.00","5.59","88","0.66","0.00","2.62","4416","1.45","0.00","3.00","Not Available","0.44","0.14","0.75"
"010090","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"128","122.75","85.31","160.20","8977","0.44","0.17","0.71","3374","4.87","3.01","6.73","287","0.42","0.00","1.97","9394","1.29","0.32","2.26","Not Available","0.54","0.35","0.74"
"010091","Not Available","7","No Different than U.S. National Rate",,"Number of Cases Too Small","1","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","919","0.30","0.00","0.73","19","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","938","1.66","0.00","3.94","Not Available","0.57","0.10","1.04"
"010092","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"324","125.07","96.38","153.75","22218","0.30","0.08","0.53","6126","8.66","7.05","10.26","656","0.63","0.00","1.87","23437","1.47","0.79","2.16","Not Available","0.75","0.60","0.90"
"010095","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","374","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","386","1.78","0.00","4.15","Not Available","0.60","0.11","1.08"
"010097","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1197","0.29","0.00","0.71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1222","1.70","0.00","4.01","Not Available","0.58","0.11","1.05"
"010099","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"5","Not Available","Not Available","Not Available","2052","0.28","0.00","0.69","145","3.37","0.00","8.05","72","1.83","0.00","3.94","2087","2.30","0.49","4.12","Not Available","0.64","0.25","1.03"
"010100","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"69","134.47","91.59","177.35","5578","0.44","0.14","0.74","2498","5.89","3.75","8.03","182","0.56","0.00","2.36","6180","3.09","2.02","4.16","Not Available","0.87","0.65","1.09"
"010101","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"3","Not Available","Not Available","Not Available","2167","0.26","0.00","0.66","176","2.93","0.00","7.29","48","0.75","0.00","2.82","2205","1.83","0.00","3.73","Not Available","0.53","0.14","0.92"
"010102","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","211","0.31","0.00","0.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","220","1.80","0.00","4.18","Not Available","0.60","0.11","1.09"
"010103","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"182","123.09","90.88","155.29","8809","0.24","0.00","0.51","3321","3.29","1.42","5.15","432","0.35","0.00","1.77","9558","2.05","1.20","2.89","Not Available","0.57","0.39","0.74"
"010104","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"173","117.05","83.30","150.80","8703","0.41","0.13","0.68","3523","3.85","1.95","5.76","348","0.97","0.00","2.50","9069","4.17","3.28","5.07","Not Available","0.95","0.76","1.13"
"010108","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"5","Not Available","Not Available","Not Available","1744","0.27","0.00","0.68","74","3.68","0.00","8.57","23","Not Available","Not Available","Not Available","1789","1.72","0.00","3.77","Not Available","0.55","0.13","0.97"
"010109","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"6","Not Available","Not Available","Not Available","1129","0.29","0.00","0.70","75","3.62","0.00","8.47","33","0.82","0.00","2.99","1167","1.41","0.00","3.51","Not Available","0.51","0.08","0.94"
"010110","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","952","0.30","0.00","0.72","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","958","1.74","0.00","4.08","Not Available","0.59","0.11","1.06"
"010112","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","2775","0.27","0.00","0.67","137","3.53","0.00","8.31","19","Not Available","Not Available","Not Available","2811","1.72","0.00","3.76","Not Available","0.55","0.13","0.97"
"010113","Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"233","150.11","121.16","179.06","18639","0.38","0.15","0.61","6327","7.99","6.44","9.54","692","0.25","0.00","1.46","19333","1.26","0.60","1.92","Not Available","0.67","0.53","0.81"
"010114","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"55","143.23","99.08","187.38","4212","0.74","0.39","1.09","916","4.70","1.38","8.02","163","0.58","0.00","2.42","4452","5.35","3.99","6.71","Not Available","1.22","0.94","1.50"
"010118","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"56","114.00","70.70","157.29","5419","0.49","0.17","0.81","829","6.82","3.29","10.36","101","0.68","0.00","2.66","5593","1.76","0.35","3.16","Not Available","0.73","0.44","1.02"
"010120","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"3","Not Available","Not Available","Not Available","1377","0.29","0.00","0.71","55","3.79","0.00","8.75","22","Not Available","Not Available","Not Available","1410","1.89","0.00","4.03","Not Available","0.59","0.15","1.03"
"010125","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"7","Not Available","Not Available","Not Available","1919","0.39","0.00","0.81","50","3.91","0.00","8.96","22","Not Available","Not Available","Not Available","1994","1.85","0.00","3.96","Not Available","0.60","0.17","1.04"
"010126","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"8","Not Available","Not Available","Not Available","1550","0.27","0.00","0.68","185","3.26","0.00","7.85","29","0.83","0.00","3.04","1611","1.26","0.00","3.25","Not Available","0.46","0.06","0.87"
"010128","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","581","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","584","1.75","0.00","4.10","Not Available","0.59","0.11","1.07"
